HomePlanet,CryoSleep,Destination,Age,VIP,Cabin_ID_1,Cabin_ID_2,Cabin_ID_3,GroupRank,GroupSize,RoomService_Cat,FoodCourt_Cat,ShoppingMall_Cat,Spa_Cat,VRDeck_Cat,EssentialSpendingCat,NonEssentialSpendingCat,Transported
1.0,0,0.0,10.0,0,12,0,4,4,6,0,0,0,0,0,0,0,1
1.0,1,1.0,1.0,0,12,0,4,5,6,1,0,0,0,0,0,1,0
1.0,0,0.0,7.0,0,12,0,4,6,6,0,0,0,0,0,0,0,0
2.0,0,0.0,21.0,0,11,0,3,1,1,3,1,2,0,0,1,2,0
0.0,1,0.0,62.0,0,10,2,4,1,1,0,0,1,0,0,0,1,1
1.0,0,0.0,15.0,0,13,6,4,1,1,0,2,0,3,0,2,3,0
0.0,0,2.0,34.0,0,10,0,3,1,1,1,3,0,3,2,3,2,0
2.0,0,0.0,43.0,0,13,8,3,1,1,3,0,2,1,0,0,2,0
1.0,0,0.0,32.0,0,14,4,4,1,1,0,3,2,2,2,3,2,0
2.0,0,0.0,47.0,0,13,9,3,1,3,2,0,3,0,3,0,3,1
2.0,0,0.0,2.0,0,13,9,3,2,3,0,0,0,0,0,0,0,1
2.0,0,0.0,20.0,0,13,9,3,3,3,1,0,3,3,0,0,2,1
0.0,1,2.0,28.0,0,11,1,4,1,1,0,0,0,0,0,0,0,1
2.0,0,2.0,23.0,0,11,1,3,1,1,3,3,0,3,0,3,3,0
1.0,0,2.0,15.0,0,13,8,4,1,1,0,2,1,1,2,2,1,0
1.0,0,2.0,20.0,0,13,10,4,1,1,2,2,0,3,0,2,2,0
1.0,1,2.0,30.0,0,14,1,3,1,1,0,0,1,0,0,0,1,0
1.0,1,0.0,17.0,0,14,2,3,1,1,0,0,0,0,0,0,0,1
0.0,0,0.0,45.0,0,9,3,3,1,1,0,2,1,3,3,2,2,0
1.0,1,0.0,55.0,0,14,3,3,1,3,0,0,0,0,0,0,0,0
1.0,1,2.0,4.0,0,14,3,3,2,3,0,0,0,0,0,0,0,1
1.0,1,1.0,21.0,0,14,3,3,3,3,0,0,0,0,0,0,0,1
2.0,0,0.0,21.0,0,13,10,3,1,2,3,0,2,0,1,0,2,0
2.0,1,1.0,19.0,0,13,10,3,2,2,0,0,0,0,0,0,0,1
1.0,0,2.0,35.0,0,12,1,4,1,1,3,0,0,1,0,0,2,0
1.0,0,0.0,56.0,0,12,2,4,1,1,0,2,0,3,2,2,2,0
1.0,0,0.0,29.0,0,14,6,4,1,1,1,0,1,3,0,0,2,0
1.0,0,0.0,25.0,0,13,11,4,1,1,0,0,3,0,1,0,2,1
0.0,0,0.0,2.0,0,8,1,4,1,3,0,0,0,0,0,0,0,1
0.0,1,0.0,38.0,0,8,1,4,2,3,0,0,0,0,0,0,0,1
0.0,0,0.0,27.0,0,8,1,4,3,3,2,2,3,2,1,2,2,1
1.0,1,1.0,36.0,0,14,7,4,1,1,0,0,0,0,0,0,0,0
1.0,0,0.0,22.0,0,13,12,4,1,1,1,3,2,3,1,3,2,0
1.0,0,0.0,62.0,0,13,13,4,1,1,0,2,0,1,1,2,1,0
2.0,1,0.0,15.0,0,13,14,4,1,2,0,0,0,0,0,0,0,1
1.0,1,0.0,33.0,0,12,3,4,2,2,0,0,1,0,0,0,1,1
1.0,0,0.0,62.0,0,14,6,3,1,1,1,2,2,0,2,2,2,0
1.0,1,1.0,0.0,0,14,10,4,1,3,0,0,0,0,0,0,0,1
1.0,0,0.0,18.0,0,14,10,4,2,3,1,2,2,0,0,2,2,1
1.0,0,2.0,21.0,0,13,15,4,3,3,3,1,0,0,1,1,2,0
2.0,0,0.0,29.0,0,12,4,4,1,1,3,0,1,2,0,0,2,0
1.0,0,0.0,42.0,0,13,16,4,1,1,3,0,1,1,0,0,2,1
1.0,0,0.0,19.0,0,13,13,3,1,1,2,0,1,1,3,0,2,0
1.0,0,0.0,17.0,0,13,14,3,1,1,1,3,0,0,1,3,1,0
1.0,0,0.0,14.0,0,13,17,4,1,1,0,1,0,0,3,1,3,0
2.0,0,1.0,37.0,0,11,3,3,1,1,1,1,3,0,1,1,2,0
0.0,0,0.0,42.0,0,10,3,4,1,1,1,3,0,0,2,3,2,1
2.0,0,0.0,27.0,0,13,18,4,1,1,2,0,3,0,0,0,2,1
2.0,0,0.0,28.0,0,13,15,3,1,1,1,0,3,0,0,0,2,1
0.0,0,0.0,38.0,0,10,4,4,1,1,0,3,0,2,3,3,2,0
1.0,1,0.0,13.0,0,14,13,4,1,1,0,0,0,0,0,0,0,0
2.0,0,0.0,42.0,0,13,16,3,1,3,3,0,0,0,0,0,3,0
2.0,1,0.0,2.0,0,13,16,3,2,3,0,0,0,0,0,0,0,1
2.0,0,0.0,8.0,0,13,16,3,3,3,0,0,0,0,0,0,0,1
1.0,0,0.0,24.0,0,14,14,4,1,1,3,0,0,0,1,0,2,1
0.0,1,0.0,40.0,0,10,5,4,1,1,0,0,0,0,0,0,0,1
1.0,0,0.0,43.0,0,13,17,3,1,1,2,0,0,3,2,0,2,0
2.0,1,1.0,45.0,0,12,5,4,1,1,0,0,0,0,0,0,0,1
1.0,1,0.0,35.0,0,14,15,4,1,1,0,0,0,0,0,0,0,1
1.0,1,0.0,26.0,0,14,16,4,1,2,1,0,0,0,0,0,1,1
1.0,0,0.0,27.0,0,13,20,4,2,2,1,2,1,2,0,2,1,0
1.0,0,0.0,19.0,0,14,9,3,1,3,0,0,3,1,1,0,2,0
1.0,1,0.0,0.0,0,14,9,3,2,3,0,0,1,0,0,0,1,1
1.0,1,0.0,3.0,0,14,9,3,3,3,0,0,0,0,0,0,0,1
0.0,0,0.0,54.0,0,8,2,4,1,1,0,3,0,1,3,3,2,0
1.0,0,0.0,26.0,0,14,11,3,1,2,0,3,1,1,0,3,1,0
1.0,0,0.0,26.0,0,14,11,3,2,2,0,3,3,0,2,3,2,1
1.0,0,1.0,23.0,0,13,19,3,1,2,2,2,2,1,0,2,2,0
1.0,0,0.0,2.0,0,14,12,3,2,2,0,0,0,0,0,0,0,1
2.0,1,0.0,31.0,0,3,9,0,1,1,0,0,0,0,0,0,0,1
1.0,0,0.0,18.0,0,13,23,4,1,1,0,0,0,3,2,0,2,0
1.0,0,0.0,24.0,0,13,24,4,1,3,0,1,0,0,1,1,1,1
1.0,1,2.0,9.0,0,14,18,4,2,3,0,0,0,0,0,0,0,1
1.0,1,0.0,6.0,0,14,18,4,3,3,0,0,0,0,0,0,0,0
1.0,0,0.0,27.0,0,13,21,3,1,1,0,0,3,1,2,0,2,0
2.0,0,0.0,21.0,0,11,2,4,1,1,3,1,1,0,0,1,2,0
1.0,1,0.0,23.0,0,14,19,4,1,3,0,0,0,0,0,0,0,0
1.0,0,0.0,31.0,0,14,19,4,2,3,2,0,2,0,0,0,2,0
1.0,0,0.0,0.0,0,14,19,4,3,3,0,0,0,0,0,0,0,1
0.0,0,0.0,32.0,0,5,13,1,1,4,0,2,1,3,3,2,2,0
0.0,0,0.0,40.0,0,9,5,3,2,4,0,2,0,0,3,2,3,0
0.0,0,0.0,42.0,0,9,5,3,3,4,3,3,0,3,2,3,3,1
0.0,1,0.0,28.0,0,9,5,3,4,4,0,0,0,0,0,0,0,1
0.0,1,0.0,29.0,0,12,6,4,1,1,0,0,0,0,0,0,0,1
0.0,0,2.0,48.0,1,9,1,4,1,1,0,3,2,1,1,3,1,1
1.0,0,0.0,64.0,0,13,23,3,1,1,0,0,3,0,0,0,3,1
1.0,0,0.0,27.0,0,14,20,4,1,1,1,2,2,2,1,2,2,0
2.0,0,0.0,26.0,0,13,24,3,1,1,0,0,0,0,1,0,1,1
0.0,0,0.0,33.0,0,11,4,3,1,1,1,3,0,1,2,3,1,1
1.0,0,0.0,39.0,0,8,0,3,1,2,0,3,0,2,3,3,2,0
0.0,1,0.0,13.0,0,8,0,3,2,2,0,0,0,0,0,0,0,1
2.0,1,0.0,24.0,0,13,25,3,1,1,0,0,0,0,1,0,1,1
1.0,0,0.0,29.0,0,14,21,4,1,1,0,0,0,3,2,0,2,0
1.0,0,0.0,18.0,0,13,27,3,1,1,1,2,1,0,1,2,1,0
2.0,1,0.0,67.0,0,13,27,4,1,1,0,0,0,0,0,0,0,1
2.0,0,0.0,35.0,0,12,7,4,1,1,3,0,2,0,1,0,2,0
2.0,0,0.0,61.0,1,11,3,4,1,2,3,2,1,2,1,2,2,0
2.0,0,0.0,45.0,0,12,8,4,2,2,3,1,0,0,0,1,3,0
1.0,1,1.0,22.0,0,14,22,4,1,1,0,0,1,0,0,0,1,1
2.0,1,0.0,19.0,0,13,29,4,1,2,0,0,0,0,0,0,0,1
2.0,0,0.0,36.0,0,11,5,4,2,2,3,0,0,0,0,0,3,0
1.0,0,0.0,19.0,0,14,17,3,1,1,0,1,3,0,0,1,3,1
1.0,0,1.0,47.0,0,14,23,4,1,1,2,2,2,1,1,2,2,0
1.0,1,0.0,13.0,0,14,18,3,1,2,0,0,0,0,0,0,0,1
1.0,0,1.0,34.0,0,12,5,3,2,2,0,1,0,2,2,1,2,0
0.0,1,2.0,35.0,0,10,6,4,1,1,0,0,0,0,0,0,0,1
1.0,1,0.0,24.0,0,14,19,3,1,2,0,0,0,0,0,0,0,1
1.0,0,0.0,26.0,0,13,29,3,2,2,2,0,0,0,2,0,2,0
2.0,0,0.0,31.0,0,13,30,3,1,1,1,0,2,0,0,0,2,0
1.0,0,0.0,20.0,0,13,31,4,1,1,0,2,2,0,0,2,2,1
1.0,0,0.0,56.0,0,14,25,4,1,1,0,0,0,0,0,0,0,0
1.0,1,0.0,50.0,0,14,26,4,1,1,0,0,0,0,0,0,0,1
2.0,0,0.0,42.0,0,13,31,3,1,1,3,0,1,0,2,0,2,0
1.0,1,2.0,29.0,0,14,27,4,1,1,0,0,0,0,0,0,0,1
1.0,1,2.0,38.0,0,14,20,3,1,1,0,0,0,0,0,0,0,0
1.0,0,1.0,41.0,0,13,32,3,1,1,0,0,0,0,2,0,2,0
1.0,0,0.0,22.0,0,14,22,3,1,1,3,0,0,0,1,0,2,0
0.0,1,0.0,26.0,0,9,8,3,1,2,0,0,0,0,0,0,0,1
0.0,1,0.0,17.0,0,9,8,3,2,2,0,0,0,0,0,0,0,1
1.0,0,0.0,57.0,0,14,28,4,1,2,1,3,0,1,2,3,1,1
1.0,1,1.0,17.0,0,14,28,4,2,2,0,0,0,0,0,0,0,0
2.0,1,0.0,35.0,0,13,37,3,1,1,0,0,0,0,0,0,0,1
2.0,1,0.0,13.0,0,13,35,4,1,2,0,0,0,0,0,0,0,1
2.0,0,0.0,27.0,0,13,35,4,2,2,3,0,1,1,2,0,2,0
1.0,1,0.0,31.0,0,14,23,3,1,1,0,0,0,0,0,0,0,0
1.0,0,0.0,24.0,0,12,10,4,1,1,0,0,0,2,2,0,2,0
1.0,1,1.0,19.0,0,14,30,4,1,1,0,0,0,0,0,0,0,1
1.0,1,0.0,32.0,0,14,24,3,1,1,0,0,0,0,0,0,0,1
1.0,0,0.0,58.0,0,12,11,4,1,1,0,3,0,1,0,3,1,1
1.0,0,2.0,21.0,0,13,38,3,1,1,2,0,1,2,2,0,2,0
0.0,0,0.0,38.0,0,9,2,4,1,1,0,3,1,3,3,3,2,0
2.0,0,0.0,38.0,0,11,6,4,1,1,3,0,2,1,2,0,2,0
1.0,0,0.0,19.0,0,14,26,3,1,3,1,2,3,1,1,2,2,1
1.0,0,0.0,0.0,0,14,26,3,2,3,0,0,0,0,0,0,0,0
1.0,0,0.0,3.0,0,14,26,3,3,3,0,0,0,0,0,0,0,1
1.0,0,0.0,20.0,0,14,27,3,1,1,0,0,1,2,2,0,2,0
0.0,1,0.0,24.0,0,10,3,3,1,1,0,0,0,0,0,0,0,1
1.0,0,0.0,37.0,0,13,36,4,1,1,1,2,2,0,2,2,2,1
1.0,0,0.0,25.0,0,14,28,3,1,1,1,0,0,0,3,0,2,0
1.0,1,0.0,56.0,0,14,31,4,1,1,0,0,0,0,0,0,0,1
1.0,0,2.0,49.0,0,12,8,3,1,1,1,1,2,2,2,1,2,0
1.0,1,2.0,11.0,0,14,32,4,1,1,0,0,0,0,0,0,0,0
1.0,1,0.0,1.0,0,14,29,3,1,3,0,0,0,0,0,0,0,1
1.0,0,0.0,8.0,0,14,29,3,2,3,0,0,0,0,0,0,0,0
1.0,0,0.0,39.0,0,14,29,3,3,3,0,0,1,3,0,0,2,0
2.0,1,0.0,2.0,0,13,41,3,1,3,0,0,0,0,0,0,0,1
2.0,0,0.0,23.0,0,13,41,3,2,3,1,0,1,3,0,0,2,0
2.0,0,0.0,0.0,0,13,41,3,3,3,0,0,0,0,0,0,0,1
2.0,0,0.0,39.0,0,13,42,3,1,1,2,0,3,0,0,0,2,1
2.0,0,1.0,25.0,0,11,5,3,1,1,3,0,3,0,1,0,2,0
0.0,0,0.0,36.0,0,10,5,3,1,1,0,3,0,3,2,3,2,0
1.0,0,1.0,52.0,0,14,30,3,1,1,0,0,0,0,0,0,0,1
1.0,1,0.0,18.0,0,14,33,4,1,1,0,0,0,0,0,0,0,0
1.0,1,0.0,15.0,0,14,31,3,1,1,0,0,0,0,0,0,0,1
0.0,1,0.0,35.0,0,9,3,4,1,2,0,0,0,0,0,0,0,1
0.0,1,0.0,47.0,0,9,3,4,2,2,0,0,0,0,0,0,0,1
0.0,1,2.0,45.0,0,9,9,3,1,2,0,0,0,0,0,0,0,1
0.0,0,2.0,29.0,0,8,2,3,2,2,0,3,1,3,2,3,2,1
0.0,1,0.0,51.0,0,10,8,4,1,1,0,0,0,0,0,0,0,1
1.0,0,0.0,29.0,0,14,34,4,1,1,0,1,2,0,3,1,2,0
0.0,0,2.0,29.0,0,10,9,4,1,1,1,3,1,3,2,3,2,1
1.0,1,1.0,19.0,0,14,32,3,1,1,0,0,0,0,0,0,0,0
1.0,1,2.0,24.0,0,11,6,3,1,1,0,0,1,0,0,0,1,1
2.0,0,0.0,29.0,0,13,44,3,1,3,3,1,2,0,0,1,2,1
2.0,1,0.0,11.0,0,13,44,3,2,3,0,0,0,0,0,0,0,1
2.0,0,0.0,17.0,0,13,44,3,3,3,3,0,2,2,0,0,2,0
1.0,0,0.0,13.0,0,12,9,3,1,2,2,0,0,1,3,0,2,0
1.0,0,0.0,35.0,0,13,45,3,2,2,2,2,0,1,2,2,2,0
1.0,0,0.0,21.0,0,13,46,3,1,1,2,2,0,0,2,2,2,0
1.0,0,2.0,21.0,0,13,40,4,1,1,0,1,0,0,3,1,3,0
1.0,0,0.0,38.0,0,13,47,3,1,1,3,0,0,1,0,0,2,0
1.0,1,0.0,19.0,0,14,36,3,1,1,0,0,0,0,0,0,0,1
1.0,1,0.0,2.0,0,14,37,3,1,7,0,0,0,0,0,0,0,1
1.0,0,0.0,0.0,0,14,37,3,2,7,0,0,0,0,0,0,0,1
1.0,1,0.0,13.0,0,14,37,3,3,7,0,0,0,0,0,0,0,0
1.0,0,0.0,25.0,0,12,10,3,4,7,2,1,1,0,0,1,2,0
1.0,0,0.0,16.0,0,13,48,3,5,7,0,1,0,0,3,1,3,0
1.0,0,2.0,1.0,0,14,37,3,6,7,0,0,0,0,0,0,0,0
1.0,1,0.0,15.0,0,14,37,3,7,7,0,0,0,0,0,0,0,1
2.0,0,2.0,21.0,0,12,13,4,1,7,3,0,2,0,0,0,2,0
2.0,0,0.0,23.0,0,12,13,4,2,7,3,1,1,1,0,1,2,0
2.0,0,0.0,33.0,0,12,13,4,3,7,3,1,2,1,0,1,2,0
2.0,1,0.0,21.0,0,12,13,4,4,7,0,0,0,0,0,0,0,1
2.0,0,0.0,41.0,0,12,13,4,5,7,3,0,2,1,3,0,2,0
2.0,0,0.0,16.0,0,12,13,4,6,7,3,0,2,2,0,0,2,0
2.0,1,0.0,42.0,0,12,13,4,7,7,0,0,0,0,0,0,0,0
2.0,0,0.0,20.0,0,13,41,4,1,3,3,0,0,1,0,0,2,0
2.0,1,0.0,24.0,0,13,41,4,2,3,0,0,0,0,0,0,0,1
2.0,1,0.0,16.0,0,12,14,4,3,3,0,0,0,0,0,0,0,1
1.0,0,0.0,21.0,0,14,35,4,1,1,0,1,3,0,1,1,2,0
2.0,0,0.0,32.0,1,13,42,4,1,1,2,0,1,3,0,0,2,0
1.0,1,1.0,58.0,0,14,38,3,1,1,0,0,0,0,0,0,0,1
1.0,0,0.0,24.0,0,13,43,4,1,1,1,1,0,3,2,1,2,0
2.0,0,0.0,30.0,0,13,44,4,1,1,1,0,1,3,0,0,2,0
1.0,1,1.0,27.0,0,14,36,4,1,1,0,1,0,0,0,1,0,0
2.0,0,0.0,32.0,0,13,45,4,1,1,1,0,2,3,0,0,2,0
1.0,0,0.0,43.0,0,13,50,3,1,1,1,3,0,0,0,3,1,0
0.0,1,0.0,42.0,0,9,11,3,1,1,0,0,0,0,0,0,0,1
2.0,0,0.0,37.0,0,1,5,0,1,1,2,0,0,2,2,0,2,0
2.0,1,0.0,35.0,0,13,52,3,1,1,0,0,0,0,0,0,0,1
0.0,0,2.0,33.0,0,12,11,3,1,1,0,3,0,3,3,3,3,0
1.0,0,0.0,18.0,0,13,46,4,1,1,2,1,3,2,0,1,2,0
1.0,1,0.0,21.0,0,14,37,4,1,1,0,0,0,0,0,0,0,0
2.0,1,0.0,43.0,0,0,34,1,1,2,0,0,0,0,0,0,0,1
2.0,1,2.0,14.0,0,13,47,4,2,2,0,0,0,0,0,0,0,1
0.0,0,2.0,46.0,0,10,6,3,1,2,0,3,0,0,1,3,1,1
0.0,0,0.0,33.0,0,10,6,3,2,2,0,1,3,2,3,1,3,0
2.0,0,0.0,21.0,0,11,8,3,1,1,3,0,2,1,0,0,2,0
0.0,0,0.0,33.0,0,10,10,4,1,1,0,1,0,3,3,1,3,0
1.0,1,1.0,47.0,0,14,38,4,1,1,1,0,0,0,0,0,1,0
1.0,1,2.0,54.0,0,10,11,4,1,1,0,0,0,0,0,0,0,1
1.0,0,0.0,30.0,0,13,53,3,1,1,2,2,3,0,0,2,2,0
1.0,0,0.0,29.0,0,14,42,3,1,1,2,2,0,0,1,2,2,0
1.0,0,0.0,21.0,0,13,54,3,1,1,3,2,2,1,1,2,2,1
0.0,1,0.0,24.0,0,8,3,4,1,1,0,0,0,0,0,0,0,1
2.0,0,2.0,21.0,0,13,49,4,1,2,3,0,1,0,0,0,2,0
2.0,1,0.0,60.0,0,13,49,4,2,2,0,0,0,0,0,0,0,1
1.0,0,0.0,22.0,0,13,50,4,1,1,0,0,2,2,2,0,2,0
0.0,0,0.0,26.0,0,12,16,4,1,1,0,3,0,3,3,3,3,0
1.0,0,0.0,26.0,0,13,56,3,1,1,1,1,0,0,3,1,2,0
1.0,1,0.0,28.0,0,14,43,3,1,1,0,0,0,0,0,0,0,1
0.0,1,0.0,39.0,0,11,8,4,1,1,0,0,0,1,0,0,1,1
1.0,0,0.0,13.0,0,13,51,4,1,1,2,0,0,3,1,0,2,0
1.0,0,2.0,47.0,0,13,52,4,1,1,0,2,3,0,0,2,3,1
1.0,0,0.0,63.0,0,13,59,3,1,1,0,1,2,0,3,1,2,0
0.0,1,2.0,29.0,0,11,9,4,1,1,0,0,0,0,0,0,0,1
1.0,0,2.0,50.0,0,13,61,3,1,1,1,3,0,1,0,3,1,1
1.0,0,0.0,35.0,0,6,56,0,1,2,0,0,0,3,1,0,2,0
1.0,0,0.0,45.0,0,14,45,3,2,2,0,1,0,1,2,1,2,0
1.0,0,0.0,19.0,0,13,63,3,1,1,0,0,3,0,0,0,3,1
1.0,0,0.0,21.0,0,13,54,4,1,1,0,3,0,0,0,3,0,1
1.0,1,1.0,29.0,0,14,46,3,1,2,0,0,0,0,0,0,0,1
1.0,0,0.0,22.0,0,13,64,3,2,2,2,2,1,0,1,2,1,1
0.0,1,0.0,14.0,0,12,16,3,1,2,0,0,0,0,0,0,0,1
0.0,1,2.0,42.0,0,12,16,3,2,2,0,0,0,0,0,0,0,1
1.0,0,2.0,57.0,0,13,65,3,1,1,1,3,1,2,1,3,1,0
0.0,1,2.0,39.0,0,3,57,0,1,2,0,0,0,0,0,0,0,1
0.0,0,0.0,28.0,0,9,12,3,2,2,0,2,1,1,3,2,2,0
1.0,0,2.0,19.0,0,13,55,4,1,1,0,0,0,0,3,0,3,0
0.0,1,2.0,19.0,0,10,12,4,1,1,0,0,0,0,0,0,0,1
0.0,0,2.0,26.0,0,9,7,4,1,4,0,3,0,3,2,3,2,1
0.0,1,0.0,17.0,0,9,7,4,2,4,0,0,0,0,0,0,0,1
0.0,0,0.0,43.0,0,9,7,4,3,4,0,0,0,0,0,0,0,1
0.0,0,2.0,9.0,0,9,7,4,4,4,0,0,0,0,0,0,0,1
0.0,0,0.0,40.0,0,11,10,4,1,1,0,3,2,3,0,3,2,1
0.0,1,0.0,50.0,0,9,8,4,1,1,0,0,0,1,0,0,1,1
1.0,0,0.0,24.0,0,14,47,3,1,1,2,1,3,1,0,1,2,1
0.0,1,2.0,57.0,0,8,3,3,1,1,0,0,0,0,0,0,0,1
1.0,1,0.0,16.0,0,1,7,1,1,1,0,0,0,0,0,0,0,0
1.0,0,0.0,23.0,0,13,67,3,1,1,0,0,1,0,3,0,2,0
1.0,1,0.0,23.0,0,14,41,4,1,1,0,0,0,0,0,0,0,1
0.0,0,0.0,28.0,0,12,18,4,1,1,0,2,0,3,3,2,3,0
0.0,0,2.0,23.0,0,10,7,3,1,1,0,2,0,1,3,2,2,0
1.0,0,0.0,23.0,0,12,19,4,1,1,2,2,2,1,2,2,2,0
1.0,0,0.0,18.0,0,13,59,4,1,1,0,0,3,0,0,0,3,1
1.0,0,0.0,18.0,0,13,60,4,1,1,3,0,2,1,0,0,2,0
0.0,0,0.0,67.0,0,0,58,1,1,1,1,2,0,3,2,2,2,0
1.0,0,1.0,60.0,0,13,68,3,1,4,1,2,1,0,1,2,1,1
1.0,1,2.0,29.0,0,14,50,3,2,4,0,0,1,0,0,0,1,1
1.0,0,2.0,49.0,0,13,68,3,3,4,2,0,0,2,0,0,2,1
1.0,0,2.0,0.0,0,14,50,3,4,4,0,0,0,0,0,0,0,1
1.0,0,2.0,26.0,0,14,51,3,1,1,2,0,2,0,3,0,2,0
1.0,1,1.0,35.0,0,14,42,4,1,1,0,0,0,0,0,0,0,1
0.0,0,0.0,24.0,0,9,9,4,1,2,0,3,1,2,0,3,2,1
0.0,1,0.0,20.0,0,9,9,4,2,2,0,0,0,0,1,0,1,1
1.0,0,0.0,18.0,0,14,44,4,1,2,0,1,0,1,0,1,1,0
1.0,0,0.0,21.0,0,14,44,4,2,2,0,1,1,0,1,1,1,0
1.0,0,0.0,59.0,1,13,61,4,1,1,3,0,2,0,0,0,2,0
1.0,1,1.0,13.0,0,14,45,4,1,1,0,0,0,0,0,0,0,0
1.0,1,2.0,43.0,0,14,53,3,1,1,0,0,0,0,0,0,0,0
1.0,1,0.0,29.0,0,14,47,4,1,1,0,0,0,0,0,0,0,0
1.0,0,0.0,19.0,0,3,44,0,1,1,1,0,3,0,1,0,2,1
0.0,0,0.0,2.0,0,10,14,4,1,3,0,0,0,0,0,0,0,1
0.0,0,0.0,32.0,0,10,14,4,2,3,2,3,0,1,2,3,2,1
0.0,0,0.0,33.0,0,10,14,4,3,3,2,2,0,2,3,2,2,0
1.0,0,0.0,25.0,0,13,72,3,1,1,0,0,2,0,2,0,2,0
2.0,1,2.0,29.0,0,13,73,3,1,1,0,0,0,0,0,0,0,1
2.0,0,0.0,29.0,0,13,62,4,1,1,3,1,2,3,0,1,3,0
1.0,0,0.0,44.0,0,13,74,3,1,1,3,1,1,0,0,1,2,0
2.0,1,2.0,2.0,0,13,63,4,1,3,0,0,0,0,0,0,0,1
2.0,0,0.0,19.0,0,13,63,4,2,3,2,2,3,1,3,2,2,1
2.0,0,2.0,0.0,0,13,63,4,3,3,0,0,0,0,0,0,0,1
1.0,1,0.0,18.0,0,14,48,4,1,1,0,0,1,0,0,0,1,1
0.0,1,2.0,38.0,0,9,10,4,1,1,0,0,0,0,0,0,0,1
1.0,1,1.0,5.0,0,14,57,3,1,1,0,0,0,0,0,0,0,0
1.0,0,1.0,31.0,0,13,76,3,1,1,2,0,0,2,3,0,2,0
2.0,1,0.0,30.0,0,12,21,4,1,1,0,0,0,0,0,0,0,0
1.0,1,2.0,15.0,0,14,59,3,1,1,0,0,0,0,0,0,0,1
2.0,0,0.0,27.0,0,13,64,4,1,1,2,0,3,0,0,0,2,0
2.0,0,0.0,22.0,0,11,12,3,1,2,2,3,2,1,0,3,2,1
2.0,0,0.0,36.0,0,3,3,0,2,2,2,0,3,0,0,0,2,1
1.0,1,1.0,14.0,0,14,60,3,1,1,0,0,0,0,0,0,0,1
2.0,0,0.0,23.0,0,13,78,3,1,1,3,0,3,0,0,0,3,0
1.0,1,0.0,18.0,0,3,68,1,1,1,0,0,0,0,0,0,0,1
0.0,1,2.0,36.0,0,9,15,3,1,1,0,0,0,0,0,0,0,1
1.0,0,0.0,41.0,0,13,65,4,1,1,1,3,0,2,2,3,2,0
1.0,1,0.0,50.0,0,14,50,4,1,2,0,0,0,0,0,0,0,1
1.0,1,1.0,32.0,0,14,50,4,2,2,0,0,0,0,0,0,0,1
1.0,0,1.0,26.0,0,13,66,4,1,1,2,0,2,0,2,0,2,0
1.0,0,0.0,15.0,0,13,67,4,1,1,2,2,1,0,2,2,2,0
1.0,0,2.0,33.0,0,13,68,4,1,1,0,1,0,2,2,1,2,1
1.0,0,2.0,29.0,0,14,51,4,1,1,0,0,0,3,1,0,2,0
